id,start_time,end_time,mentor_current,mentor_ever,mentor_desired,mentor_additional,mentor_benefits_str,mentor_topics,mentor_in_out,mentor_function,Communicating Effectively,Strategic Resource Allocation,Career Development,Project Execution,Further Formal Education Or Corporate Training,"Sounding Board, Thoughts And Ideas",Business Acumen,Leading Teams,Building Your Brand And Credibility In The Organization,Negotiation Skills,Influencing Others (Even If You Don'T Have Direct Reports)  ,Technical Skill Building
2,3/8/21 8:38:12,3/8/21 8:42:08,0,0,1.0,0.0,I would like to gain a better understanding of communicating with executives,"Communicating Effectively
;Influencing Others (even if you don't have direct reports)  
;Negotiation Skills
;Career Development
;",Outside,Executive Management in RD&E or a Business Unit,1,0,1,0,0,0,0,0,0,1,1,0
3,3/8/21 8:35:57,3/8/21 8:42:42,1,0,0.0,1.0,"I have benefited greatly from coworkers and managers who have also became mentors in my professional development.  They have contributed greatly to my technical and project execution skills, but I feel I need 'outside' assistance on career development and brand building.","Career Development
;Building Your Brand and Credibility in the Organization
;",Inside,,0,0,1,0,0,0,0,0,1,0,0,0
4,3/8/21 8:43:25,3/8/21 8:45:32,0,0,1.0,0.0,"I would like to have help seeing the ""bigger picture"", understanding our groups better, and seeing more beyone my particular group.","Career Development
;Building Your Brand and Credibility in the Organization
;Technical Skill Building
;",Either,"Marketing, Finance, Sales",0,0,1,0,0,0,0,0,1,0,0,1
5,3/8/21 8:45:50,3/8/21 8:46:35,0,0,0.0,0.0,,"Technical Skill Building
;",Either,,0,0,0,0,0,0,0,0,0,0,0,1
6,3/8/21 8:59:33,3/8/21 9:00:55,0,1,0.0,0.0,Career navigation and exposure,"Career Development
;",Outside,other,0,0,1,0,0,0,0,0,0,0,0,0
7,3/8/21 9:17:46,3/8/21 9:21:14,0,0,1.0,0.0,Understanding the business more broadly and having more avenues for exposure and career advancement. ,"Career Development
;Leading Teams
;",Outside,Eagan R&D,0,0,1,0,0,0,0,1,0,0,0,0
8,3/8/21 9:22:18,3/8/21 9:28:04,0,0,1.0,0.0,"I feel that it is crucial to one's success to have someone that can provide honest feedback and help navigate a large, complex company. ","Career Development
;Building Your Brand and Credibility in the Organization
;Technical Skill Building
;",Either,sales or finance,0,0,1,0,0,0,0,0,1,0,0,1
9,3/8/21 9:39:28,3/8/21 9:43:04,0,0,1.0,0.0,Cross functionality across the business segments. Insight others have gained through their different roles. Leadership advice.,"Career Development
;Influencing Others (even if you don't have direct reports)  
;Negotiation Skills
;Leading Teams
;",Either,"Someone that has held numerous leadership roles within the company, director level or above.",0,0,1,0,0,0,0,1,0,1,1,0
10,3/8/21 9:27:15,3/8/21 10:10:41,1,1,,0.0,Having a mentor has helped immensely with thinking about my forward career development and building credibility. A great mentor is also a great advocate for you.,"Leading Teams
;Negotiation Skills
;Building Your Brand and Credibility in the Organization
;Influencing Others (even if you don't have direct reports)  
;Communicating Effectively
;Career Development
;",Either,,1,0,1,0,0,0,0,1,1,1,1,0
11,3/8/21 10:15:57,3/8/21 10:19:23,1,0,,0.0,"Benefits include more years experience in the field, access to additional information, someone to talk thru issues","Project Execution
;Technical Skill Building
;Leading Teams
;Influencing Others (even if you don't have direct reports)  
;",Inside,,0,0,0,1,0,0,0,1,0,0,1,1
12,3/8/21 10:27:46,3/8/21 10:40:05,0,0,1.0,,,"Career Development
;Building Your Brand and Credibility in the Organization
;",Either,Not sure.,0,0,1,0,0,0,0,0,1,0,0,0
13,3/8/21 11:19:21,3/8/21 11:27:51,0,0,1.0,0.0,"Career development can be difficult outside of Eagan / St. Paul, especially if I am not inclined to move at this time - what career paths are available and feasible? In my current position, technical skill building is very important, as well as building contacts within the organization for resource information. ","Building Your Brand and Credibility in the Organization
;Technical Skill Building
;Career Development
;",Either,RD&E,0,0,1,0,0,0,0,0,1,0,0,1
14,3/8/21 12:00:07,3/8/21 12:03:55,0,1,1.0,,"I was able to gain a better understanding of corporate R&D, as my mentor at the time was VP of R&D.","Career Development
;Leading Teams
;Building Your Brand and Credibility in the Organization
;",Either,RD&E or Enterprise Excellence,0,0,1,0,0,0,0,1,1,0,0,0
15,3/8/21 13:24:12,3/8/21 13:27:17,1,1,0.0,0.0,Knowledge,"Career Development
;Project Execution
;Communicating Effectively
;Influencing Others (even if you don't have direct reports)  
;Negotiation Skills
;Building Your Brand and Credibility in the Organization
;Technical Skill Building
;Leading Teams
;",Either,"Sales, Marketing and enterprise excellence",1,0,1,1,0,0,0,1,1,1,1,1
16,3/8/21 13:27:47,3/8/21 13:31:58,0,1,1.0,,Exchange ideas about different topics including leadership and specialized knowledge in order to get the mentor guidance.,"Career Development
;Communicating Effectively
;Influencing Others (even if you don't have direct reports)  
;Building Your Brand and Credibility in the Organization
;Negotiation Skills
;Leading Teams
;",Either,"Marketing, Finance, Enterprise Excellence",1,0,1,0,0,0,0,1,1,1,1,0
17,3/8/21 13:41:26,3/8/21 13:45:47,0,0,1.0,0.0,"Recommendations on career path, collateral duties or stretch assignments that could provide more visibility, usefulness of additional formal education such as MBA in order to grow my business acumen.","Career Development
;Communicating Effectively
;Influencing Others (even if you don't have direct reports)  
;Building Your Brand and Credibility in the Organization
;Negotiation Skills
;Leading Teams
;further formal education or corporate training;",Either,Sales or Marketing,1,0,1,0,1,0,0,1,1,1,1,0
18,3/8/21 14:07:13,3/8/21 14:08:50,1,1,,1.0,,"Career Development
;Influencing Others (even if you don't have direct reports)  
;Building Your Brand and Credibility in the Organization
;Negotiation Skills
;",Outside,Marketing or Finance,0,0,1,0,0,0,0,0,1,1,1,0
