ID,Start time,Completion time,Do you currently have a mentor?,Have you ever had a formal mentor?,"If you do not have a mentor, would you like a mentor?","If you do have a mentor, would you like an additional mentor?",What are the benefits you've gained from having a mentor or what benefits would you like to get from having a mentor?,What topics would be most important for you to discuss with your mentor?,Would you be interested in having a mentor inside of the Engineering organization or outside of Engineering?,"If outside, what function would you want the mentor to be in? (e.g. Sales, Marketing, Supply Chain, Finance, HR, RD&E, Enterprise Excellence, other?)"
1,3/8/21 8:36:41,3/8/21 8:37:18,No,No,No,No,NA,,,
2,3/8/21 8:38:12,3/8/21 8:42:08,No,No,Yes,No,I would like to gain a better understanding of communicating with executives,"Communicating Effectively
;Influencing Others (even if you don't have direct reports)  
;Negotiation Skills
;Career Development
;",Outside,Executive Management in RD&E or a Business Unit
3,3/8/21 8:35:57,3/8/21 8:42:42,Yes,No,No,Yes,"I have benefited greatly from coworkers and managers who have also became mentors in my professional development.  They have contributed greatly to my technical and project execution skills, but I feel I need 'outside' assistance on career development and brand building.","Career Development
;Building Your Brand and Credibility in the Organization
;",Inside,
4,3/8/21 8:43:25,3/8/21 8:45:32,No,No,Yes,No,"I would like to have help seeing the ""bigger picture"", understanding our groups better, and seeing more beyone my particular group.","Career Development
;Building Your Brand and Credibility in the Organization
;Technical Skill Building
;",Either,"Marketing, Finance, Sales"
5,3/8/21 8:45:50,3/8/21 8:46:35,No,No,No,No,,"Technical Skill Building
;",Either,
6,3/8/21 8:59:33,3/8/21 9:00:55,No,Yes,No,No,Career navigation and exposure,"Career Development
;",Outside,other
7,3/8/21 9:17:46,3/8/21 9:21:14,No,No,Yes,No,Understanding the business more broadly and having more avenues for exposure and career advancement. ,"Career Development
;Leading Teams
;",Outside,Eagan R&D
8,3/8/21 9:22:18,3/8/21 9:28:04,No,No,Yes,No,"I feel that it is crucial to one's success to have someone that can provide honest feedback and help navigate a large, complex company. ","Career Development
;Building Your Brand and Credibility in the Organization
;Technical Skill Building
;",Either,sales or finance
9,3/8/21 9:39:28,3/8/21 9:43:04,No,No,Yes,No,Cross functionality across the business segments. Insight others have gained through their different roles. Leadership advice.,"Career Development
;Influencing Others (even if you don't have direct reports)  
;Negotiation Skills
;Leading Teams
;",Either,"Someone that has held numerous leadership roles within the company, director level or above."
10,3/8/21 9:27:15,3/8/21 10:10:41,Yes,Yes,,No,Having a mentor has helped immensely with thinking about my forward career development and building credibility. A great mentor is also a great advocate for you.,"Leading Teams
;Negotiation Skills
;Building Your Brand and Credibility in the Organization
;Influencing Others (even if you don't have direct reports)  
;Communicating Effectively
;Career Development
;",Either,
11,3/8/21 10:15:57,3/8/21 10:19:23,Yes,No,,No,"Benefits include more years experience in the field, access to additional information, someone to talk thru issues","Project Execution
;Technical Skill Building
;Leading Teams
;Influencing Others (even if you don't have direct reports)  
;",Inside,
12,3/8/21 10:27:46,3/8/21 10:40:05,No,No,Yes,,,"Career Development
;Building Your Brand and Credibility in the Organization
;",Either,Not sure.
